uic_1,country_1,name_1,lon_1,lat_1,uic_2,country_2,name_2,lon_2,lat_2,match
2053290,RU,Sochi,433526N,394345E,2053336,RU,TUAPSE-PASSAJIRSKAIA,000000N,000000E,0
2053336,RU,"Tuapse Pass",440530N,390524E,2053336,RU,TUAPSE-PASSAJIRSKAIA,000000N,000000E,1
2053336,RU,"Tuapse Pass",440530N,390524E,2076110,RU,PERM-2,580016N,561054E,0
2076110,RU,PERM-2,580016N,561054E,2076110,RU,PERM-2,580016N,561054E,1
2076110,RU,PERM-2,580016N,561054E,2078050,RU,JEKATERINBURG-PASS,000000N,000000E,0
2078050,RU,"Ekaterinburg Pass.",565201N,603617E,2078050,RU,JEKATERINBURG-PASS,000000N,000000E,1
2078050,RU,"Ekaterinburg Pass.",565201N,603617E,2079000,RU,TIUMEN,570842N,653124E,0
2079000,RU,Tiumen,570842N,653124E,2079000,RU,TIUMEN,570842N,653124E,1
2079000,RU,Tiumen,570842N,653124E,2079090,RU,ZAVODOUKOVSKAIA,000000N,000000E,0
2079090,RU,ZAVODOUKOVSKAIA,613126N,1051907E,2079090,RU,ZAVODOUKOVSKAIA,000000N,000000E,1
2079090,RU,ZAVODOUKOVSKAIA,613126N,1051907E,2079160,RU,ISHIM,560643N,693045E,0
2079160,RU,ISHIM,560643N,693045E,2079160,RU,ISHIM,560643N,693045E,1
2079160,RU,ISHIM,560643N,693045E,2079290,RU,KAMYSHLOV,565055N,624252E,0
2079290,RU,KAMYSHLOV,565055N,624252E,2079290,RU,KAMYSHLOV,565055N,624252E,1
2079290,RU,KAMYSHLOV,565055N,624252E,2083070,RU,OMSK,545636N,732439E,0
2083070,RU,Omsk,545617N,732127E,2083070,RU,OMSK,545636N,732439E,1
2083070,RU,Omsk,545617N,732127E,2083160,RU,NAZYVAEVSKAIA,000000N,000000E,0
2083160,RU,NAZYVAEVSKAIA,613126N,1051907E,2083160,RU,NAZYVAEVSKAIA,000000N,000000E,1
2083160,RU,NAZYVAEVSKAIA,613126N,1051907E,2083300,RU,TATARSKAIA,551250N,755733E,0
2083300,RU,TATARSKAIA,551250N,755733E,2083300,RU,TATARSKAIA,551250N,755733E,1
2083300,RU,TATARSKAIA,551250N,755733E,2083360,RU,BARABINSK,552114N,782041E,0
2083360,RU,Barabinsk,552203N,781606E,2083360,RU,BARABINSK,552114N,782041E,1
2083360,RU,Barabinsk,552203N,781606E,2085001,RU,NOVOSIBIRSK,550058N,825528E,0
2085001,RU,Novosibirsk,550058N,825528E,2085001,RU,NOVOSIBIRSK,550058N,825528E,1
2085001,RU,Novosibirsk,550058N,825528E,2085010,RU,OB,545932N,824327E,0
